GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Not Hispanic or Latino,Margin of Error; Total: - Not Hispanic or Latino,Estimate; Total: - Hispanic or Latino,Margin of Error; Total: - Hispanic or Latino
1500000US245100101001,245100101001,"Block Group 1, Census Tract 101, Baltimore city, Maryland",1176,200,1056,198,120,86
1500000US245100101002,245100101002,"Block Group 2, Census Tract 101, Baltimore city, Maryland",886,155,862,156,24,24
1500000US245100101003,245100101003,"Block Group 3, Census Tract 101, Baltimore city, Maryland",977,281,977,281,0,12
1500000US245100102001,245100102001,"Block Group 1, Census Tract 102, Baltimore city, Maryland",1111,420,1066,424,45,50
1500000US245100102002,245100102002,"Block Group 2, Census Tract 102, Baltimore city, Maryland",680,192,561,140,119,146
1500000US245100102003,245100102003,"Block Group 3, Census Tract 102, Baltimore city, Maryland",983,253,983,253,0,12
1500000US245100102004,245100102004,"Block Group 4, Census Tract 102, Baltimore city, Maryland",518,298,392,237,126,126
1500000US245100103001,245100103001,"Block Group 1, Census Tract 103, Baltimore city, Maryland",1099,256,999,213,100,154
1500000US245100103002,245100103002,"Block Group 2, Census Tract 103, Baltimore city, Maryland",1455,233,1369,247,86,78
1500000US245100104001,245100104001,"Block Group 1, Census Tract 104, Baltimore city, Maryland",840,186,833,187,7,10
1500000US245100104002,245100104002,"Block Group 2, Census Tract 104, Baltimore city, Maryland",1535,233,1480,225,55,49
1500000US245100105001,245100105001,"Block Group 1, Census Tract 105, Baltimore city, Maryland",789,134,772,133,17,24
1500000US245100105002,245100105002,"Block Group 2, Census Tract 105, Baltimore city, Maryland",906,127,854,136,52,42
1500000US245100201001,245100201001,"Block Group 1, Census Tract 201, Baltimore city, Maryland",698,136,657,133,41,27
1500000US245100201002,245100201002,"Block Group 2, Census Tract 201, Baltimore city, Maryland",1255,238,1057,151,198,214
1500000US245100202001,245100202001,"Block Group 1, Census Tract 202, Baltimore city, Maryland",659,149,515,133,144,75
1500000US245100202002,245100202002,"Block Group 2, Census Tract 202, Baltimore city, Maryland",1277,272,973,184,304,201
1500000US245100203001,245100203001,"Block Group 1, Census Tract 203, Baltimore city, Maryland",1342,379,1293,381,49,68
1500000US245100203002,245100203002,"Block Group 2, Census Tract 203, Baltimore city, Maryland",975,238,903,242,72,92
1500000US245100203003,245100203003,"Block Group 3, Census Tract 203, Baltimore city, Maryland",1633,332,1184,308,449,115
1500000US245100301001,245100301001,"Block Group 1, Census Tract 301, Baltimore city, Maryland",2117,502,1826,382,291,387
1500000US245100301002,245100301002,"Block Group 2, Census Tract 301, Baltimore city, Maryland",1223,456,1136,451,87,134
1500000US245100302001,245100302001,"Block Group 1, Census Tract 302, Baltimore city, Maryland",1299,260,1299,260,0,12
1500000US245100302002,245100302002,"Block Group 2, Census Tract 302, Baltimore city, Maryland",1019,203,905,188,114,93
1500000US245100401001,245100401001,"Block Group 1, Census Tract 401, Baltimore city, Maryland",1615,364,1556,354,59,55
1500000US245100401002,245100401002,"Block Group 2, Census Tract 401, Baltimore city, Maryland",1888,311,1722,295,166,121
