GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Family households:,Margin of Error; Family households:,Estimate; Family households: - Married-couple family,Margin of Error; Family households: - Married-couple family,Estimate; Family households: - Other family:,Margin of Error; Family households: - Other family:,"Estimate; Family households: - Other family: - Male householder, no wife present","Margin of Error; Family households: - Other family: - Male householder, no wife present","Estimate; Family households: - Other family: - Female householder, no husband present","Margin of Error; Family households: - Other family: - Female householder, no husband present",Estimate; Nonfamily households:,Margin of Error; Nonfamily households:,Estimate; Nonfamily households: - Householder living alone,Margin of Error; Nonfamily households: - Householder living alone,Estimate; Nonfamily households: - Householder not living alone,Margin of Error; Nonfamily households: - Householder not living alone
1500000US245100101001,245100101001,"Block Group 1, Census Tract 101, Baltimore city, Maryland",583,77,191,72,183,70,8,12,0,12,8,12,392,75,193,62,199,51
1500000US245100101002,245100101002,"Block Group 2, Census Tract 101, Baltimore city, Maryland",461,69,167,55,155,56,12,17,0,12,12,17,294,67,193,63,101,42
1500000US245100101003,245100101003,"Block Group 3, Census Tract 101, Baltimore city, Maryland",398,63,161,59,127,59,34,27,10,15,24,22,237,69,186,68,51,33
1500000US245100102001,245100102001,"Block Group 1, Census Tract 102, Baltimore city, Maryland",438,112,185,89,97,57,88,81,14,22,74,78,253,106,144,98,109,60
1500000US245100102002,245100102002,"Block Group 2, Census Tract 102, Baltimore city, Maryland",322,71,123,63,101,57,22,24,0,12,22,24,199,63,113,56,86,44
1500000US245100102003,245100102003,"Block Group 3, Census Tract 102, Baltimore city, Maryland",475,96,161,68,161,68,0,12,0,12,0,12,314,91,162,81,152,70
1500000US245100102004,245100102004,"Block Group 4, Census Tract 102, Baltimore city, Maryland",209,111,101,62,79,57,22,27,9,14,13,22,108,88,13,21,95,87
1500000US245100103001,245100103001,"Block Group 1, Census Tract 103, Baltimore city, Maryland",464,77,266,81,198,68,68,62,53,58,15,23,198,62,128,58,70,36
1500000US245100103002,245100103002,"Block Group 2, Census Tract 103, Baltimore city, Maryland",681,89,230,79,158,70,72,60,54,60,18,21,451,95,280,79,171,70
1500000US245100104001,245100104001,"Block Group 1, Census Tract 104, Baltimore city, Maryland",478,94,155,66,155,66,0,12,0,12,0,12,323,91,267,88,56,33
1500000US245100104002,245100104002,"Block Group 2, Census Tract 104, Baltimore city, Maryland",893,115,264,68,231,68,33,23,6,10,27,21,629,111,398,98,231,80
1500000US245100105001,245100105001,"Block Group 1, Census Tract 105, Baltimore city, Maryland",337,47,107,41,88,37,19,17,4,6,15,16,230,53,146,48,84,33
1500000US245100105002,245100105002,"Block Group 2, Census Tract 105, Baltimore city, Maryland",448,53,199,55,147,52,52,34,26,23,26,22,249,54,165,45,84,32
1500000US245100201001,245100201001,"Block Group 1, Census Tract 201, Baltimore city, Maryland",292,52,125,38,92,35,33,23,11,12,22,19,167,47,85,35,82,38
1500000US245100201002,245100201002,"Block Group 2, Census Tract 201, Baltimore city, Maryland",602,65,225,58,145,43,80,43,23,29,57,32,377,66,270,60,107,47
1500000US245100202001,245100202001,"Block Group 1, Census Tract 202, Baltimore city, Maryland",342,62,125,49,88,36,37,37,3,5,34,37,217,57,190,57,27,19
1500000US245100202002,245100202002,"Block Group 2, Census Tract 202, Baltimore city, Maryland",482,71,182,63,93,41,89,47,55,43,34,24,300,70,145,55,155,53
1500000US245100203001,245100203001,"Block Group 1, Census Tract 203, Baltimore city, Maryland",738,174,221,130,178,112,43,70,0,12,43,70,517,163,340,142,177,127
1500000US245100203002,245100203002,"Block Group 2, Census Tract 203, Baltimore city, Maryland",613,147,174,77,147,70,27,33,0,12,27,33,439,151,379,148,60,45
1500000US245100203003,245100203003,"Block Group 3, Census Tract 203, Baltimore city, Maryland",716,152,248,92,165,74,83,51,83,51,0,12,468,150,310,144,158,72
1500000US245100301001,245100301001,"Block Group 1, Census Tract 301, Baltimore city, Maryland",717,116,398,106,10,19,388,110,61,71,327,117,319,93,239,83,80,67
1500000US245100301002,245100301002,"Block Group 2, Census Tract 301, Baltimore city, Maryland",403,112,252,127,37,33,215,128,12,19,203,128,151,71,115,72,36,22
1500000US245100302001,245100302001,"Block Group 1, Census Tract 302, Baltimore city, Maryland",496,82,219,80,65,40,154,71,0,12,154,71,277,87,221,93,56,43
1500000US245100302002,245100302002,"Block Group 2, Census Tract 302, Baltimore city, Maryland",672,122,165,79,154,78,11,18,0,12,11,18,507,118,423,117,84,50
1500000US245100401001,245100401001,"Block Group 1, Census Tract 401, Baltimore city, Maryland",863,168,121,87,74,55,47,65,0,12,47,65,742,160,391,148,351,116
1500000US245100401002,245100401002,"Block Group 2, Census Tract 401, Baltimore city, Maryland",1323,184,139,72,124,69,15,24,0,12,15,24,1184,185,923,181,261,113
1500000US245100402001,245100402001,"Block Group 1, Census Tract 402, Baltimore city, Maryland",313,44,15,12,9,9,6,8,0,12,6,8,298,46,286,48,12,10
1500000US245100601001,245100601001,"Block Group 1, Census Tract 601, Baltimore city, Maryland",168,58,155,58,36,43,119,50,49,43,70,52,13,15,0,12,13,15
1500000US245100601002,245100601002,"Block Group 2, Census Tract 601, Baltimore city, Maryland",346,82,175,71,43,38,132,69,18,17,114,67,171,60,124,43,47,39
1500000US245100601003,245100601003,"Block Group 3, Census Tract 601, Baltimore city, Maryland",275,59,149,57,68,37,81,45,48,37,33,30,126,45,83,43,43,28
1500000US245100601004,245100601004,"Block Group 4, Census Tract 601, Baltimore city, Maryland",157,61,116,54,9,13,107,52,30,37,77,45,41,26,32,22,9,13
1500000US245100602001,245100602001,"Block Group 1, Census Tract 602, Baltimore city, Maryland",81,48,34,28,16,24,18,21,0,12,18,21,47,39,47,39,0,12
1500000US245100602002,245100602002,"Block Group 2, Census Tract 602, Baltimore city, Maryland",224,77,118,66,103,63,15,23,0,12,15,23,106,52,30,26,76,50
1500000US245100602003,245100602003,"Block Group 3, Census Tract 602, Baltimore city, Maryland",278,75,150,52,98,54,52,31,0,12,52,31,128,64,90,68,38,29
1500000US245100602004,245100602004,"Block Group 4, Census Tract 602, Baltimore city, Maryland",260,87,116,68,77,58,39,40,14,21,25,34,144,65,81,61,63,32
1500000US245100602005,245100602005,"Block Group 5, Census Tract 602, Baltimore city, Maryland",328,101,209,80,40,43,169,86,46,49,123,77,119,80,113,81,6,9
1500000US245100603001,245100603001,"Block Group 1, Census Tract 603, Baltimore city, Maryland",301,52,140,45,11,17,129,43,21,19,108,41,161,51,150,49,11,12
1500000US245100603002,245100603002,"Block Group 2, Census Tract 603, Baltimore city, Maryland",473,55,158,49,121,45,37,24,4,6,33,23,315,62,229,60,86,35
1500000US245100604001,245100604001,"Block Group 1, Census Tract 604, Baltimore city, Maryland",257,68,91,40,27,18,64,36,0,12,64,36,166,61,90,41,76,53
1500000US245100604002,245100604002,"Block Group 2, Census Tract 604, Baltimore city, Maryland",404,66,126,57,74,47,52,33,0,12,52,33,278,58,250,59,28,20
1500000US245100701001,245100701001,"Block Group 1, Census Tract 701, Baltimore city, Maryland",350,78,266,72,90,40,176,65,53,40,123,64,84,41,44,32,40,26
1500000US245100701002,245100701002,"Block Group 2, Census Tract 701, Baltimore city, Maryland",409,86,298,75,57,33,241,76,67,44,174,64,111,55,67,41,44,34
1500000US245100702001,245100702001,"Block Group 1, Census Tract 702, Baltimore city, Maryland",134,56,76,43,6,10,70,41,0,12,70,41,58,39,58,39,0,12
1500000US245100702002,245100702002,"Block Group 2, Census Tract 702, Baltimore city, Maryland",201,72,131,53,31,24,100,48,9,14,91,48,70,54,70,54,0,12
1500000US245100702003,245100702003,"Block Group 3, Census Tract 702, Baltimore city, Maryland",330,85,197,72,35,33,162,70,13,19,149,69,133,64,107,55,26,29
1500000US245100702004,245100702004,"Block Group 4, Census Tract 702, Baltimore city, Maryland",209,85,128,55,20,25,108,55,0,12,108,55,81,82,64,77,17,27
1500000US245100702005,245100702005,"Block Group 5, Census Tract 702, Baltimore city, Maryland",182,57,100,48,5,10,95,49,12,20,83,50,82,37,65,31,17,20
1500000US245100703001,245100703001,"Block Group 1, Census Tract 703, Baltimore city, Maryland",185,40,112,34,59,30,53,29,14,16,39,25,73,34,65,33,8,13
1500000US245100703002,245100703002,"Block Group 2, Census Tract 703, Baltimore city, Maryland",82,31,66,29,23,22,43,23,22,17,21,17,16,12,12,11,4,6
1500000US245100704001,245100704001,"Block Group 1, Census Tract 704, Baltimore city, Maryland",92,35,4,9,4,9,0,12,0,12,0,12,88,36,40,25,48,27
1500000US245100704002,245100704002,"Block Group 2, Census Tract 704, Baltimore city, Maryland",188,50,41,28,22,18,19,18,7,11,12,13,147,50,143,52,4,7
1500000US245100704003,245100704003,"Block Group 3, Census Tract 704, Baltimore city, Maryland",341,60,168,49,47,37,121,43,7,12,114,40,173,67,165,67,8,12
1500000US245100801011,245100801011,"Block Group 1, Census Tract 801.01, Baltimore city, Maryland",237,46,199,49,184,48,15,17,0,12,15,17,38,30,15,19,23,23
1500000US245100801012,245100801012,"Block Group 2, Census Tract 801.01, Baltimore city, Maryland",344,80,252,79,118,66,134,70,18,31,116,66,92,54,69,44,23,33
1500000US245100801013,245100801013,"Block Group 3, Census Tract 801.01, Baltimore city, Maryland",385,107,246,82,61,37,185,79,19,31,166,77,139,75,130,73,9,15
