GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2015 Inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)
1500000US245100101001,245100101001,"Block Group 1, Census Tract 101, Baltimore city, Maryland",88922,12271
1500000US245100101002,245100101002,"Block Group 2, Census Tract 101, Baltimore city, Maryland",86844,10761
1500000US245100101003,245100101003,"Block Group 3, Census Tract 101, Baltimore city, Maryland",107500,31341
1500000US245100102001,245100102001,"Block Group 1, Census Tract 102, Baltimore city, Maryland",68226,13508
1500000US245100102002,245100102002,"Block Group 2, Census Tract 102, Baltimore city, Maryland",70714,27782
1500000US245100102003,245100102003,"Block Group 3, Census Tract 102, Baltimore city, Maryland",106161,27572
1500000US245100102004,245100102004,"Block Group 4, Census Tract 102, Baltimore city, Maryland",97083,18188
1500000US245100103001,245100103001,"Block Group 1, Census Tract 103, Baltimore city, Maryland",115278,35289
1500000US245100103002,245100103002,"Block Group 2, Census Tract 103, Baltimore city, Maryland",92550,12725
1500000US245100104001,245100104001,"Block Group 1, Census Tract 104, Baltimore city, Maryland",62353,16599
1500000US245100104002,245100104002,"Block Group 2, Census Tract 104, Baltimore city, Maryland",100729,17256
1500000US245100105001,245100105001,"Block Group 1, Census Tract 105, Baltimore city, Maryland",100536,31170
1500000US245100105002,245100105002,"Block Group 2, Census Tract 105, Baltimore city, Maryland",76122,5072
1500000US245100201001,245100201001,"Block Group 1, Census Tract 201, Baltimore city, Maryland",93684,16285
1500000US245100201002,245100201002,"Block Group 2, Census Tract 201, Baltimore city, Maryland",80921,4565
1500000US245100202001,245100202001,"Block Group 1, Census Tract 202, Baltimore city, Maryland",43958,6810
1500000US245100202002,245100202002,"Block Group 2, Census Tract 202, Baltimore city, Maryland",66875,25713
1500000US245100203001,245100203001,"Block Group 1, Census Tract 203, Baltimore city, Maryland",69949,49727
1500000US245100203002,245100203002,"Block Group 2, Census Tract 203, Baltimore city, Maryland",68922,23713
1500000US245100203003,245100203003,"Block Group 3, Census Tract 203, Baltimore city, Maryland",104861,22102
1500000US245100301001,245100301001,"Block Group 1, Census Tract 301, Baltimore city, Maryland",13234,7197
1500000US245100301002,245100301002,"Block Group 2, Census Tract 301, Baltimore city, Maryland",41250,34746
1500000US245100302001,245100302001,"Block Group 1, Census Tract 302, Baltimore city, Maryland",41354,24909
1500000US245100302002,245100302002,"Block Group 2, Census Tract 302, Baltimore city, Maryland",86667,29926
1500000US245100401001,245100401001,"Block Group 1, Census Tract 401, Baltimore city, Maryland",69497,18437
1500000US245100401002,245100401002,"Block Group 2, Census Tract 401, Baltimore city, Maryland",44625,12731
1500000US245100402001,245100402001,"Block Group 1, Census Tract 402, Baltimore city, Maryland",25260,7488
1500000US245100601001,245100601001,"Block Group 1, Census Tract 601, Baltimore city, Maryland",23571,9076
1500000US245100601002,245100601002,"Block Group 2, Census Tract 601, Baltimore city, Maryland",37586,10570
