GEO.id,GEO.id2,GEO.display-label,D001,D002,D003,D004,D005,D006,D007,D008,D009
Id,Id2,Geography,Total:,Family households:,Family households: - Husband-wife family,Family households: - Other family:,"Family households: - Other family: - Male householder, no wife present","Family households: - Other family: - Female householder, no husband present",Nonfamily households:,Nonfamily households: - Householder living alone,Nonfamily households: - Householder not living alone
1500000US245100101001,245100101001,"Block Group 1, Census Tract 101, Baltimore city, Maryland",606,208,154,54,15,39,398,252,146
1500000US245100101002,245100101002,"Block Group 2, Census Tract 101, Baltimore city, Maryland",493,161,119,42,14,28,332,189,143
1500000US245100101003,245100101003,"Block Group 3, Census Tract 101, Baltimore city, Maryland",431,151,130,21,9,12,280,176,104
1500000US245100102001,245100102001,"Block Group 1, Census Tract 102, Baltimore city, Maryland",351,157,96,61,25,36,194,118,76
1500000US245100102002,245100102002,"Block Group 2, Census Tract 102, Baltimore city, Maryland",282,117,81,36,11,25,165,112,53
1500000US245100102003,245100102003,"Block Group 3, Census Tract 102, Baltimore city, Maryland",458,179,132,47,20,27,279,163,116
1500000US245100102004,245100102004,"Block Group 4, Census Tract 102, Baltimore city, Maryland",278,138,88,50,19,31,140,80,60
1500000US245100103001,245100103001,"Block Group 1, Census Tract 103, Baltimore city, Maryland",463,179,141,38,16,22,284,164,120
1500000US245100103002,245100103002,"Block Group 2, Census Tract 103, Baltimore city, Maryland",654,179,126,53,16,37,475,272,203
1500000US245100104001,245100104001,"Block Group 1, Census Tract 104, Baltimore city, Maryland",496,151,109,42,16,26,345,214,131
1500000US245100104002,245100104002,"Block Group 2, Census Tract 104, Baltimore city, Maryland",1167,345,286,59,23,36,822,575,247
1500000US245100105001,245100105001,"Block Group 1, Census Tract 105, Baltimore city, Maryland",431,152,116,36,9,27,279,186,93
1500000US245100105002,245100105002,"Block Group 2, Census Tract 105, Baltimore city, Maryland",449,169,111,58,28,30,280,195,85
1500000US245100201001,245100201001,"Block Group 1, Census Tract 201, Baltimore city, Maryland",339,133,89,44,11,33,206,126,80
1500000US245100201002,245100201002,"Block Group 2, Census Tract 201, Baltimore city, Maryland",577,205,152,53,17,36,372,227,145
1500000US245100202001,245100202001,"Block Group 1, Census Tract 202, Baltimore city, Maryland",358,150,77,73,26,47,208,130,78
1500000US245100202002,245100202002,"Block Group 2, Census Tract 202, Baltimore city, Maryland",501,191,116,75,41,34,310,204,106
1500000US245100203001,245100203001,"Block Group 1, Census Tract 203, Baltimore city, Maryland",654,187,120,67,27,40,467,326,141
1500000US245100203002,245100203002,"Block Group 2, Census Tract 203, Baltimore city, Maryland",647,178,146,32,15,17,469,346,123
1500000US245100203003,245100203003,"Block Group 3, Census Tract 203, Baltimore city, Maryland",761,187,170,17,7,10,574,438,136
1500000US245100301001,245100301001,"Block Group 1, Census Tract 301, Baltimore city, Maryland",791,465,56,409,37,372,326,268,58
1500000US245100301002,245100301002,"Block Group 2, Census Tract 301, Baltimore city, Maryland",379,166,61,105,15,90,213,166,47
1500000US245100302001,245100302001,"Block Group 1, Census Tract 302, Baltimore city, Maryland",439,253,96,157,15,142,186,132,54
1500000US245100302002,245100302002,"Block Group 2, Census Tract 302, Baltimore city, Maryland",696,194,156,38,16,22,502,398,104
1500000US245100401001,245100401001,"Block Group 1, Census Tract 401, Baltimore city, Maryland",903,151,114,37,14,23,752,488,264
1500000US245100401002,245100401002,"Block Group 2, Census Tract 401, Baltimore city, Maryland",1562,264,195,69,23,46,1298,1017,281
1500000US245100402001,245100402001,"Block Group 1, Census Tract 402, Baltimore city, Maryland",364,25,15,10,2,8,339,296,43
1500000US245100601001,245100601001,"Block Group 1, Census Tract 601, Baltimore city, Maryland",187,148,45,103,21,82,39,30,9
1500000US245100601002,245100601002,"Block Group 2, Census Tract 601, Baltimore city, Maryland",376,234,122,112,29,83,142,80,62
1500000US245100601003,245100601003,"Block Group 3, Census Tract 601, Baltimore city, Maryland",256,132,71,61,12,49,124,70,54
1500000US245100601004,245100601004,"Block Group 4, Census Tract 601, Baltimore city, Maryland",182,131,42,89,17,72,51,37,14
1500000US245100602001,245100602001,"Block Group 1, Census Tract 602, Baltimore city, Maryland",142,107,36,71,15,56,35,15,20
1500000US245100602002,245100602002,"Block Group 2, Census Tract 602, Baltimore city, Maryland",248,104,64,40,15,25,144,102,42
1500000US245100602003,245100602003,"Block Group 3, Census Tract 602, Baltimore city, Maryland",251,145,85,60,15,45,106,51,55
1500000US245100602004,245100602004,"Block Group 4, Census Tract 602, Baltimore city, Maryland",292,166,67,99,26,73,126,66,60
1500000US245100602005,245100602005,"Block Group 5, Census Tract 602, Baltimore city, Maryland",199,141,41,100,12,88,58,41,17
1500000US245100603001,245100603001,"Block Group 1, Census Tract 603, Baltimore city, Maryland",232,161,33,128,19,109,71,51,20
1500000US245100603002,245100603002,"Block Group 2, Census Tract 603, Baltimore city, Maryland",467,217,125,92,22,70,250,155,95
1500000US245100604001,245100604001,"Block Group 1, Census Tract 604, Baltimore city, Maryland",259,105,48,57,8,49,154,120,34
1500000US245100604002,245100604002,"Block Group 2, Census Tract 604, Baltimore city, Maryland",342,133,56,77,12,65,209,177,32
1500000US245100701001,245100701001,"Block Group 1, Census Tract 701, Baltimore city, Maryland",364,288,70,218,39,179,76,64,12
1500000US245100701002,245100701002,"Block Group 2, Census Tract 701, Baltimore city, Maryland",499,395,110,285,27,258,104,73,31
1500000US245100702001,245100702001,"Block Group 1, Census Tract 702, Baltimore city, Maryland",180,141,30,111,18,93,39,31,8
1500000US245100702002,245100702002,"Block Group 2, Census Tract 702, Baltimore city, Maryland",287,237,66,171,18,153,50,36,14
1500000US245100702003,245100702003,"Block Group 3, Census Tract 702, Baltimore city, Maryland",251,203,46,157,34,123,48,31,17
1500000US245100702004,245100702004,"Block Group 4, Census Tract 702, Baltimore city, Maryland",177,126,29,97,10,87,51,38,13
1500000US245100702005,245100702005,"Block Group 5, Census Tract 702, Baltimore city, Maryland",215,167,34,133,29,104,48,35,13
1500000US245100703001,245100703001,"Block Group 1, Census Tract 703, Baltimore city, Maryland",209,143,35,108,21,87,66,46,20
1500000US245100703002,245100703002,"Block Group 2, Census Tract 703, Baltimore city, Maryland",120,86,19,67,21,46,34,30,4
1500000US245100704001,245100704001,"Block Group 1, Census Tract 704, Baltimore city, Maryland",56,39,14,25,5,20,17,14,3
1500000US245100704002,245100704002,"Block Group 2, Census Tract 704, Baltimore city, Maryland",186,43,18,25,2,23,143,136,7
1500000US245100704003,245100704003,"Block Group 3, Census Tract 704, Baltimore city, Maryland",283,203,35,168,15,153,80,62,18
1500000US245100801011,245100801011,"Block Group 1, Census Tract 801.01, Baltimore city, Maryland",265,187,148,39,7,32,78,55,23
1500000US245100801012,245100801012,"Block Group 2, Census Tract 801.01, Baltimore city, Maryland",307,231,102,129,22,107,76,55,21
1500000US245100801013,245100801013,"Block Group 3, Census Tract 801.01, Baltimore city, Maryland",397,290,84,206,27,179,107,80,27
1500000US245100801014,245100801014,"Block Group 4, Census Tract 801.01, Baltimore city, Maryland",343,249,99,150,21,129,94,74,20
1500000US245100801021,245100801021,"Block Group 1, Census Tract 801.02, Baltimore city, Maryland",283,209,64,145,19,126,74,55,19
