GEO.id,GEO.id2,GEO.display-label,D001,D002,D003,D004,D005,D006
Id,Id2,Geography,Total:,Urban:,Urban: - Inside urbanized areas,Urban: - Inside urban clusters,Rural,Not defined for this file
1500000US245100101001,245100101001,"Block Group 1, Census Tract 101, Baltimore city, Maryland",1135,1135,1135,0,0,0
1500000US245100101002,245100101002,"Block Group 2, Census Tract 101, Baltimore city, Maryland",967,967,967,0,0,0
1500000US245100101003,245100101003,"Block Group 3, Census Tract 101, Baltimore city, Maryland",920,920,920,0,0,0
1500000US245100102001,245100102001,"Block Group 1, Census Tract 102, Baltimore city, Maryland",825,825,825,0,0,0
1500000US245100102002,245100102002,"Block Group 2, Census Tract 102, Baltimore city, Maryland",578,578,578,0,0,0
1500000US245100102003,245100102003,"Block Group 3, Census Tract 102, Baltimore city, Maryland",942,942,942,0,0,0
1500000US245100102004,245100102004,"Block Group 4, Census Tract 102, Baltimore city, Maryland",664,664,664,0,0,0
1500000US245100103001,245100103001,"Block Group 1, Census Tract 103, Baltimore city, Maryland",938,938,938,0,0,0
1500000US245100103002,245100103002,"Block Group 2, Census Tract 103, Baltimore city, Maryland",1270,1270,1270,0,0,0
1500000US245100104001,245100104001,"Block Group 1, Census Tract 104, Baltimore city, Maryland",910,910,910,0,0,0
1500000US245100104002,245100104002,"Block Group 2, Census Tract 104, Baltimore city, Maryland",1960,1960,1960,0,0,0
1500000US245100105001,245100105001,"Block Group 1, Census Tract 105, Baltimore city, Maryland",846,846,846,0,0,0
1500000US245100105002,245100105002,"Block Group 2, Census Tract 105, Baltimore city, Maryland",878,878,878,0,0,0
1500000US245100201001,245100201001,"Block Group 1, Census Tract 201, Baltimore city, Maryland",726,726,726,0,0,0
1500000US245100201002,245100201002,"Block Group 2, Census Tract 201, Baltimore city, Maryland",1158,1158,1158,0,0,0
1500000US245100202001,245100202001,"Block Group 1, Census Tract 202, Baltimore city, Maryland",902,902,902,0,0,0
1500000US245100202002,245100202002,"Block Group 2, Census Tract 202, Baltimore city, Maryland",1185,1185,1185,0,0,0
1500000US245100203001,245100203001,"Block Group 1, Census Tract 203, Baltimore city, Maryland",1141,1141,1141,0,0,0
1500000US245100203002,245100203002,"Block Group 2, Census Tract 203, Baltimore city, Maryland",1040,1040,1040,0,0,0
1500000US245100203003,245100203003,"Block Group 3, Census Tract 203, Baltimore city, Maryland",1163,1163,1163,0,0,0
1500000US245100301001,245100301001,"Block Group 1, Census Tract 301, Baltimore city, Maryland",2194,2194,2194,0,0,0
1500000US245100301002,245100301002,"Block Group 2, Census Tract 301, Baltimore city, Maryland",871,871,871,0,0,0
1500000US245100302001,245100302001,"Block Group 1, Census Tract 302, Baltimore city, Maryland",1222,1222,1222,0,0,0
1500000US245100302002,245100302002,"Block Group 2, Census Tract 302, Baltimore city, Maryland",1120,1120,1120,0,0,0
1500000US245100401001,245100401001,"Block Group 1, Census Tract 401, Baltimore city, Maryland",1691,1691,1691,0,0,0
1500000US245100401002,245100401002,"Block Group 2, Census Tract 401, Baltimore city, Maryland",2315,2315,2315,0,0,0
1500000US245100402001,245100402001,"Block Group 1, Census Tract 402, Baltimore city, Maryland",838,838,838,0,0,0
1500000US245100601001,245100601001,"Block Group 1, Census Tract 601, Baltimore city, Maryland",725,725,725,0,0,0
1500000US245100601002,245100601002,"Block Group 2, Census Tract 601, Baltimore city, Maryland",1128,1128,1128,0,0,0
1500000US245100601003,245100601003,"Block Group 3, Census Tract 601, Baltimore city, Maryland",703,703,703,0,0,0
1500000US245100601004,245100601004,"Block Group 4, Census Tract 601, Baltimore city, Maryland",666,666,666,0,0,0
1500000US245100602001,245100602001,"Block Group 1, Census Tract 602, Baltimore city, Maryland",535,535,535,0,0,0
1500000US245100602002,245100602002,"Block Group 2, Census Tract 602, Baltimore city, Maryland",541,541,541,0,0,0
1500000US245100602003,245100602003,"Block Group 3, Census Tract 602, Baltimore city, Maryland",718,718,718,0,0,0
1500000US245100602004,245100602004,"Block Group 4, Census Tract 602, Baltimore city, Maryland",830,830,830,0,0,0
1500000US245100602005,245100602005,"Block Group 5, Census Tract 602, Baltimore city, Maryland",641,641,641,0,0,0
1500000US245100603001,245100603001,"Block Group 1, Census Tract 603, Baltimore city, Maryland",697,697,697,0,0,0
1500000US245100603002,245100603002,"Block Group 2, Census Tract 603, Baltimore city, Maryland",1103,1103,1103,0,0,0
1500000US245100604001,245100604001,"Block Group 1, Census Tract 604, Baltimore city, Maryland",496,496,496,0,0,0
1500000US245100604002,245100604002,"Block Group 2, Census Tract 604, Baltimore city, Maryland",687,687,687,0,0,0
1500000US245100701001,245100701001,"Block Group 1, Census Tract 701, Baltimore city, Maryland",1192,1192,1192,0,0,0
