GEO.id,GEO.id2,GEO.display-label,D001,D002,D003,D004,D005,D006,D007,D008
Id,Id2,Geography,Total:,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Two or More Races
1500000US245100101001,245100101001,"Block Group 1, Census Tract 101, Baltimore city, Maryland",1135,1048,23,2,23,2,22,15
1500000US245100101002,245100101002,"Block Group 2, Census Tract 101, Baltimore city, Maryland",967,902,19,3,23,0,8,12
1500000US245100101003,245100101003,"Block Group 3, Census Tract 101, Baltimore city, Maryland",920,792,83,3,20,2,6,14
1500000US245100102001,245100102001,"Block Group 1, Census Tract 102, Baltimore city, Maryland",825,511,145,11,21,0,101,36
1500000US245100102002,245100102002,"Block Group 2, Census Tract 102, Baltimore city, Maryland",578,482,33,5,5,0,37,16
1500000US245100102003,245100102003,"Block Group 3, Census Tract 102, Baltimore city, Maryland",942,829,30,5,9,0,49,20
1500000US245100102004,245100102004,"Block Group 4, Census Tract 102, Baltimore city, Maryland",664,447,84,6,37,0,52,38
1500000US245100103001,245100103001,"Block Group 1, Census Tract 103, Baltimore city, Maryland",938,825,42,0,28,0,28,15
1500000US245100103002,245100103002,"Block Group 2, Census Tract 103, Baltimore city, Maryland",1270,1138,52,0,36,0,27,17
1500000US245100104001,245100104001,"Block Group 1, Census Tract 104, Baltimore city, Maryland",910,817,27,3,35,0,8,20
1500000US245100104002,245100104002,"Block Group 2, Census Tract 104, Baltimore city, Maryland",1960,1675,90,3,110,2,38,42
1500000US245100105001,245100105001,"Block Group 1, Census Tract 105, Baltimore city, Maryland",846,716,57,1,27,0,26,19
1500000US245100105002,245100105002,"Block Group 2, Census Tract 105, Baltimore city, Maryland",878,728,28,5,26,1,59,31
1500000US245100201001,245100201001,"Block Group 1, Census Tract 201, Baltimore city, Maryland",726,518,107,14,34,0,38,15
1500000US245100201002,245100201002,"Block Group 2, Census Tract 201, Baltimore city, Maryland",1158,947,77,0,25,0,81,28
1500000US245100202001,245100202001,"Block Group 1, Census Tract 202, Baltimore city, Maryland",902,476,195,7,64,0,109,51
1500000US245100202002,245100202002,"Block Group 2, Census Tract 202, Baltimore city, Maryland",1185,728,115,4,69,3,210,56
1500000US245100203001,245100203001,"Block Group 1, Census Tract 203, Baltimore city, Maryland",1141,955,43,11,35,2,49,46
1500000US245100203002,245100203002,"Block Group 2, Census Tract 203, Baltimore city, Maryland",1040,865,67,3,53,0,25,27
1500000US245100203003,245100203003,"Block Group 3, Census Tract 203, Baltimore city, Maryland",1163,1004,38,1,83,1,8,28
1500000US245100301001,245100301001,"Block Group 1, Census Tract 301, Baltimore city, Maryland",2194,245,1761,22,27,0,102,37
1500000US245100301002,245100301002,"Block Group 2, Census Tract 301, Baltimore city, Maryland",871,159,604,3,58,0,17,30
1500000US245100302001,245100302001,"Block Group 1, Census Tract 302, Baltimore city, Maryland",1222,365,729,7,68,0,25,28
1500000US245100302002,245100302002,"Block Group 2, Census Tract 302, Baltimore city, Maryland",1120,900,60,1,97,0,28,34
1500000US245100401001,245100401001,"Block Group 1, Census Tract 401, Baltimore city, Maryland",1691,908,432,7,276,2,21,45
1500000US245100401002,245100401002,"Block Group 2, Census Tract 401, Baltimore city, Maryland",2315,1077,553,4,559,4,40,78
1500000US245100402001,245100402001,"Block Group 1, Census Tract 402, Baltimore city, Maryland",838,384,239,3,169,0,6,37
1500000US245100601001,245100601001,"Block Group 1, Census Tract 601, Baltimore city, Maryland",725,147,452,7,9,0,70,40
1500000US245100601002,245100601002,"Block Group 2, Census Tract 601, Baltimore city, Maryland",1128,474,402,22,33,1,158,38
1500000US245100601003,245100601003,"Block Group 3, Census Tract 601, Baltimore city, Maryland",703,373,236,19,17,0,47,11
1500000US245100601004,245100601004,"Block Group 4, Census Tract 601, Baltimore city, Maryland",666,110,453,11,2,7,42,41
1500000US245100602001,245100602001,"Block Group 1, Census Tract 602, Baltimore city, Maryland",535,65,365,5,8,0,65,27
1500000US245100602002,245100602002,"Block Group 2, Census Tract 602, Baltimore city, Maryland",541,331,156,11,14,1,6,22
1500000US245100602003,245100602003,"Block Group 3, Census Tract 602, Baltimore city, Maryland",718,381,251,3,17,0,44,22
1500000US245100602004,245100602004,"Block Group 4, Census Tract 602, Baltimore city, Maryland",830,347,365,9,30,0,56,23
1500000US245100602005,245100602005,"Block Group 5, Census Tract 602, Baltimore city, Maryland",641,85,497,10,1,0,23,25
1500000US245100603001,245100603001,"Block Group 1, Census Tract 603, Baltimore city, Maryland",697,98,551,0,16,5,18,9
1500000US245100603002,245100603002,"Block Group 2, Census Tract 603, Baltimore city, Maryland",1103,587,312,34,27,1,112,30
1500000US245100604001,245100604001,"Block Group 1, Census Tract 604, Baltimore city, Maryland",496,124,306,0,38,2,11,15
1500000US245100604002,245100604002,"Block Group 2, Census Tract 604, Baltimore city, Maryland",687,142,510,7,21,0,1,6
1500000US245100701001,245100701001,"Block Group 1, Census Tract 701, Baltimore city, Maryland",1192,33,1123,7,2,0,15,12
1500000US245100701002,245100701002,"Block Group 2, Census Tract 701, Baltimore city, Maryland",1765,120,1531,9,19,0,48,38
1500000US245100702001,245100702001,"Block Group 1, Census Tract 702, Baltimore city, Maryland",576,10,541,7,1,0,7,10
1500000US245100702002,245100702002,"Block Group 2, Census Tract 702, Baltimore city, Maryland",991,14,953,3,4,0,0,17
1500000US245100702003,245100702003,"Block Group 3, Census Tract 702, Baltimore city, Maryland",940,53,840,6,7,0,15,19
1500000US245100702004,245100702004,"Block Group 4, Census Tract 702, Baltimore city, Maryland",560,25,474,3,15,0,23,20
1500000US245100702005,245100702005,"Block Group 5, Census Tract 702, Baltimore city, Maryland",715,9,678,2,8,0,6,12
1500000US245100703001,245100703001,"Block Group 1, Census Tract 703, Baltimore city, Maryland",610,41,535,0,8,0,20,6
